Gene,Transcript,Exon
ENSG00000157500,ENST00000482800,ENSE00003649299
ENSG00000157500,ENST00000482800,ENSE00003580811
ENSG00000157500,ENST00000482800,ENSE00003527210
ENSG00000157500,ENST00000482800,ENSE00003472499
ENSG00000157500,ENST00000482800,ENSE00003540928
ENSG00000157500,ENST00000482800,ENSE00003463410
ENSG00000157500,ENST00000482800,ENSE00003610210
ENSG00000157500,ENST00000482800,ENSE00003585897
ENSG00000157500,ENST00000482800,ENSE00003598531
ENSG00000157500,ENST00000482800,ENSE00003599205
ENSG00000157500,ENST00000482800,ENSE00003597096
ENSG00000157500,ENST00000482800,ENSE00003511436
ENSG00000157500,ENST00000482800,ENSE00003625771
ENSG00000157500,ENST00000482800,ENSE00003618474
ENSG00000157500,ENST00000482800,ENSE00003608991
ENSG00000157500,ENST00000482800,ENSE00003585026
ENSG00000157500,ENST00000482800,ENSE00003588649
ENSG00000157500,ENST00000482800,ENSE00003465999
ENSG00000157500,ENST00000482800,ENSE00001873695
ENSG00000157500,ENST00000495803,ENSE00001873953
ENSG00000157500,ENST00000495803,ENSE00003577757
ENSG00000157500,ENST00000495803,ENSE00003599120
ENSG00000157500,ENST00000495803,ENSE00003560629
ENSG00000157500,ENST00000495803,ENSE00003786983
ENSG00000157500,ENST00000468342,ENSE00001931373
ENSG00000157500,ENST00000468342,ENSE00003649299
ENSG00000157500,ENST00000468342,ENSE00003580811
ENSG00000157500,ENST00000468342,ENSE00001849559
ENSG00000157500,ENST00000444459,ENSE00001604240
ENSG00000157500,ENST00000444459,ENSE00001685256
ENSG00000157500,ENST00000444459,ENSE00003577757
ENSG00000157500,ENST00000444459,ENSE00003599120
ENSG00000157500,ENST00000444459,ENSE00003522948
ENSG00000157500,ENST00000444459,ENSE00003560629
ENSG00000157500,ENST00000444459,ENSE00003786983
ENSG00000157500,ENST00000444459,ENSE00001798991
ENSG00000157500,ENST00000464446,ENSE00003511436
ENSG00000157500,ENST00000464446,ENSE00003625771
ENSG00000157500,ENST00000464446,ENSE00003618474
ENSG00000157500,ENST00000464446,ENSE00003608991
ENSG00000157500,ENST00000464446,ENSE00003585026
ENSG00000157500,ENST00000464446,ENSE00001934941
ENSG00000157500,ENST00000488530,ENSE00001881733
ENSG00000157500,ENST00000488530,ENSE00003585026
ENSG00000157500,ENST00000488530,ENSE00003588649
ENSG00000157500,ENST00000488530,ENSE00003465999
ENSG00000157500,ENST00000488530,ENSE00003669572
ENSG00000157500,ENST00000492501,ENSE00001953138
ENSG00000157500,ENST00000492501,ENSE00001931030
ENSG00000183117,ENST00000335551,ENSE00001764219
ENSG00000183117,ENST00000335551,ENSE00001337309
ENSG00000183117,ENST00000335551,ENSE00001337308
ENSG00000183117,ENST00000335551,ENSE00001660352
ENSG00000183117,ENST00000335551,ENSE00001337303
ENSG00000183117,ENST00000335551,ENSE00003644099
ENSG00000183117,ENST00000335551,ENSE00003634507
ENSG00000183117,ENST00000335551,ENSE00003573928
ENSG00000183117,ENST00000335551,ENSE00003657161
ENSG00000183117,ENST00000335551,ENSE00003554364
ENSG00000183117,ENST00000335551,ENSE00003660564
ENSG00000183117,ENST00000335551,ENSE00003608110
ENSG00000183117,ENST00000335551,ENSE00003656117
ENSG00000183117,ENST00000335551,ENSE00003645505
ENSG00000183117,ENST00000335551,ENSE00003492107
ENSG00000183117,ENST00000335551,ENSE00003657934
ENSG00000183117,ENST00000335551,ENSE00003517944
ENSG00000183117,ENST00000335551,ENSE00003532075
ENSG00000183117,ENST00000335551,ENSE00003656592
ENSG00000183117,ENST00000335551,ENSE00003488848
ENSG00000183117,ENST00000335551,ENSE00003543605
ENSG00000183117,ENST00000335551,ENSE00003651393
ENSG00000183117,ENST00000335551,ENSE00003463123
ENSG00000183117,ENST00000335551,ENSE00003571994
ENSG00000183117,ENST00000335551,ENSE00003486173
ENSG00000183117,ENST00000335551,ENSE00003534953
ENSG00000183117,ENST00000335551,ENSE00003500203
ENSG00000183117,ENST00000335551,ENSE00003582999
ENSG00000183117,ENST00000335551,ENSE00003566862
ENSG00000183117,ENST00000335551,ENSE00001647726
ENSG00000183117,ENST00000335551,ENSE00001725197
ENSG00000183117,ENST00000335551,ENSE00001618094
ENSG00000183117,ENST00000335551,ENSE00001741713
ENSG00000183117,ENST00000335551,ENSE00001604504
ENSG00000183117,ENST00000335551,ENSE00001724024
ENSG00000183117,ENST00000335551,ENSE00001778596
ENSG00000183117,ENST00000335551,ENSE00001645867
ENSG00000183117,ENST00000335551,ENSE00003500741
ENSG00000183117,ENST00000335551,ENSE00003589893
ENSG00000183117,ENST00000335551,ENSE00001774787
ENSG00000183117,ENST00000335551,ENSE00001610794
ENSG00000183117,ENST00000335551,ENSE00001666981
ENSG00000183117,ENST00000335551,ENSE00001719912
ENSG00000183117,ENST00000335551,ENSE00001632174
ENSG00000183117,ENST00000335551,ENSE00001646384
ENSG00000183117,ENST00000335551,ENSE00001790731
ENSG00000183117,ENST00000335551,ENSE00001653652
ENSG00000183117,ENST00000335551,ENSE00001752958
ENSG00000183117,ENST00000335551,ENSE00001760704
ENSG00000183117,ENST00000335551,ENSE00001716902
ENSG00000183117,ENST00000335551,ENSE00001634359
ENSG00000183117,ENST00000335551,ENSE00001754635
ENSG00000183117,ENST00000335551,ENSE00001705572
ENSG00000183117,ENST00000335551,ENSE00001697137
ENSG00000183117,ENST00000335551,ENSE00001753984
ENSG00000183117,ENST00000335551,ENSE00001623260
ENSG00000183117,ENST00000400186,ENSE00002115244
ENSG00000183117,ENST00000400186,ENSE00002097594
ENSG00000183117,ENST00000400186,ENSE00002125828
ENSG00000183117,ENST00000400186,ENSE00001541898
ENSG00000183117,ENST00000400186,ENSE00001541896
ENSG00000183117,ENST00000400186,ENSE00002122291
ENSG00000183117,ENST00000400186,ENSE00001639117
ENSG00000183117,ENST00000400186,ENSE00001593866
ENSG00000183117,ENST00000400186,ENSE00002124827
ENSG00000183117,ENST00000400186,ENSE00002110069
ENSG00000183117,ENST00000400186,ENSE00001642699
ENSG00000183117,ENST00000400186,ENSE00003616600
ENSG00000183117,ENST00000400186,ENSE00003609504
ENSG00000183117,ENST00000400186,ENSE00001736687
ENSG00000183117,ENST00000400186,ENSE00001337309
ENSG00000183117,ENST00000400186,ENSE00001337308
ENSG00000183117,ENST00000400186,ENSE00001660352
ENSG00000183117,ENST00000400186,ENSE00001337303
ENSG00000183117,ENST00000400186,ENSE00003644099
ENSG00000183117,ENST00000400186,ENSE00003634507
ENSG00000183117,ENST00000400186,ENSE00003573928
ENSG00000183117,ENST00000400186,ENSE00003657161
ENSG00000183117,ENST00000400186,ENSE00003554364
ENSG00000183117,ENST00000400186,ENSE00003660564
ENSG00000183117,ENST00000400186,ENSE00003608110
ENSG00000183117,ENST00000400186,ENSE00003656117
ENSG00000183117,ENST00000400186,ENSE00003645505
ENSG00000183117,ENST00000400186,ENSE00003492107
ENSG00000183117,ENST00000400186,ENSE00003657934
ENSG00000183117,ENST00000400186,ENSE00003517944
ENSG00000183117,ENST00000400186,ENSE00003532075
ENSG00000183117,ENST00000400186,ENSE00003656592
ENSG00000183117,ENST00000400186,ENSE00003488848
ENSG00000183117,ENST00000400186,ENSE00003543605
ENSG00000183117,ENST00000400186,ENSE00003651393
ENSG00000183117,ENST00000400186,ENSE00003463123
ENSG00000183117,ENST00000400186,ENSE00003571994
ENSG00000183117,ENST00000400186,ENSE00003486173
ENSG00000183117,ENST00000400186,ENSE00003534953
ENSG00000183117,ENST00000400186,ENSE00003500203
ENSG00000183117,ENST00000400186,ENSE00003582999
ENSG00000183117,ENST00000400186,ENSE00003566862
ENSG00000183117,ENST00000400186,ENSE00001647726
ENSG00000183117,ENST00000400186,ENSE00001725197
ENSG00000183117,ENST00000400186,ENSE00001618094
ENSG00000183117,ENST00000400186,ENSE00001741713
ENSG00000183117,ENST00000400186,ENSE00001604504
ENSG00000183117,ENST00000400186,ENSE00001337196
ENSG00000183117,ENST00000400186,ENSE00001724024
ENSG00000183117,ENST00000400186,ENSE00001778596
ENSG00000183117,ENST00000400186,ENSE00001645867
ENSG00000183117,ENST00000400186,ENSE00003500741
ENSG00000183117,ENST00000400186,ENSE00001774787
ENSG00000183117,ENST00000400186,ENSE00001610794
ENSG00000183117,ENST00000400186,ENSE00001666981
ENSG00000183117,ENST00000400186,ENSE00001719912
ENSG00000183117,ENST00000400186,ENSE00001632174
ENSG00000183117,ENST00000400186,ENSE00001653652
ENSG00000183117,ENST00000400186,ENSE00001752958
ENSG00000183117,ENST00000400186,ENSE00001760704
ENSG00000183117,ENST00000400186,ENSE00001716902
ENSG00000183117,ENST00000400186,ENSE00001634359
ENSG00000183117,ENST00000400186,ENSE00001390107
ENSG00000183117,ENST00000400186,ENSE00001754635
ENSG00000183117,ENST00000400186,ENSE00001705572
ENSG00000183117,ENST00000400186,ENSE00001697137
ENSG00000183117,ENST00000400186,ENSE00001753984
ENSG00000183117,ENST00000400186,ENSE00002133897
ENSG00000183117,ENST00000602723,ENSE00002115244
ENSG00000183117,ENST00000602723,ENSE00002097594
ENSG00000183117,ENST00000602723,ENSE00002125828
ENSG00000183117,ENST00000602723,ENSE00001541898
ENSG00000183117,ENST00000602723,ENSE00001541896
ENSG00000183117,ENST00000602723,ENSE00002122291
ENSG00000183117,ENST00000602723,ENSE00001639117
ENSG00000183117,ENST00000602723,ENSE00001593866
ENSG00000183117,ENST00000602723,ENSE00003423523
ENSG00000183117,ENST00000602723,ENSE00002110069
ENSG00000183117,ENST00000602723,ENSE00001642699
ENSG00000183117,ENST00000602723,ENSE00003616600
ENSG00000183117,ENST00000602723,ENSE00003609504
ENSG00000183117,ENST00000602723,ENSE00001736687
ENSG00000183117,ENST00000602723,ENSE00001337309
ENSG00000183117,ENST00000602723,ENSE00001337308
ENSG00000183117,ENST00000602723,ENSE00001660352
ENSG00000183117,ENST00000602723,ENSE00001337303
ENSG00000183117,ENST00000602723,ENSE00003644099
ENSG00000183117,ENST00000602723,ENSE00003634507
ENSG00000183117,ENST00000602723,ENSE00003573928
ENSG00000183117,ENST00000602723,ENSE00003657161
ENSG00000183117,ENST00000602723,ENSE00003554364
ENSG00000183117,ENST00000602723,ENSE00003660564
ENSG00000183117,ENST00000602723,ENSE00003608110
ENSG00000183117,ENST00000602723,ENSE00003656117
ENSG00000183117,ENST00000602723,ENSE00003645505
ENSG00000183117,ENST00000602723,ENSE00003492107
ENSG00000183117,ENST00000602723,ENSE00003657934
ENSG00000183117,ENST00000602723,ENSE00003517944
ENSG00000183117,ENST00000602723,ENSE00003532075
ENSG00000183117,ENST00000602723,ENSE00003656592
ENSG00000183117,ENST00000602723,ENSE00003488848
ENSG00000183117,ENST00000602723,ENSE00003543605
ENSG00000183117,ENST00000602723,ENSE00003651393
ENSG00000183117,ENST00000602723,ENSE00003463123
ENSG00000183117,ENST00000602723,ENSE00003571994
ENSG00000183117,ENST00000602723,ENSE00003486173
ENSG00000183117,ENST00000602723,ENSE00003534953
ENSG00000183117,ENST00000602723,ENSE00003500203
ENSG00000183117,ENST00000602723,ENSE00003582999
ENSG00000183117,ENST00000602723,ENSE00003566862
ENSG00000183117,ENST00000602723,ENSE00001647726
ENSG00000183117,ENST00000602723,ENSE00001725197
ENSG00000183117,ENST00000602723,ENSE00001618094
ENSG00000183117,ENST00000602723,ENSE00001741713
ENSG00000183117,ENST00000602723,ENSE00001604504
ENSG00000183117,ENST00000602723,ENSE00001337196
ENSG00000183117,ENST00000602723,ENSE00001724024
ENSG00000183117,ENST00000602723,ENSE00001778596
ENSG00000183117,ENST00000602723,ENSE00001645867
ENSG00000183117,ENST00000602723,ENSE00003500741
ENSG00000183117,ENST00000602723,ENSE00001774787
ENSG00000183117,ENST00000602723,ENSE00001610794
ENSG00000183117,ENST00000602723,ENSE00001666981
ENSG00000183117,ENST00000602723,ENSE00001719912
ENSG00000183117,ENST00000602723,ENSE00001632174
ENSG00000183117,ENST00000602723,ENSE00001653652
ENSG00000183117,ENST00000602723,ENSE00001752958
ENSG00000183117,ENST00000602723,ENSE00001760704
ENSG00000183117,ENST00000602723,ENSE00001716902
ENSG00000183117,ENST00000602723,ENSE00001634359
ENSG00000183117,ENST00000602723,ENSE00001390107
ENSG00000183117,ENST00000602723,ENSE00001754635
ENSG00000183117,ENST00000602723,ENSE00001705572
ENSG00000183117,ENST00000602723,ENSE00001697137
ENSG00000183117,ENST00000602723,ENSE00001753984
ENSG00000183117,ENST00000602723,ENSE00002133897
ENSG00000183117,ENST00000635120,ENSE00003845808
ENSG00000183117,ENST00000635120,ENSE00002097594
ENSG00000183117,ENST00000635120,ENSE00002125828
ENSG00000183117,ENST00000635120,ENSE00001541898
ENSG00000183117,ENST00000635120,ENSE00001541896
ENSG00000183117,ENST00000635120,ENSE00002122291
ENSG00000183117,ENST00000635120,ENSE00001639117
ENSG00000183117,ENST00000635120,ENSE00001593866
ENSG00000183117,ENST00000635120,ENSE00002110069
ENSG00000183117,ENST00000635120,ENSE00001642699
ENSG00000183117,ENST00000635120,ENSE00003616600
ENSG00000183117,ENST00000635120,ENSE00003609504
ENSG00000183117,ENST00000635120,ENSE00001736687
ENSG00000183117,ENST00000635120,ENSE00001337309
ENSG00000183117,ENST00000635120,ENSE00001337308
ENSG00000183117,ENST00000635120,ENSE00001660352
ENSG00000183117,ENST00000635120,ENSE00001337303
ENSG00000183117,ENST00000635120,ENSE00003644099
ENSG00000183117,ENST00000635120,ENSE00003634507
ENSG00000183117,ENST00000635120,ENSE00003573928
ENSG00000183117,ENST00000635120,ENSE00003657161
ENSG00000183117,ENST00000635120,ENSE00003554364
ENSG00000183117,ENST00000635120,ENSE00003660564
ENSG00000183117,ENST00000635120,ENSE00003608110
ENSG00000183117,ENST00000635120,ENSE00003656117
ENSG00000183117,ENST00000635120,ENSE00003645505
ENSG00000183117,ENST00000635120,ENSE00003492107
ENSG00000183117,ENST00000635120,ENSE00003657934
ENSG00000183117,ENST00000635120,ENSE00003517944
ENSG00000183117,ENST00000635120,ENSE00003532075
ENSG00000183117,ENST00000635120,ENSE00003656592
ENSG00000183117,ENST00000635120,ENSE00003488848
ENSG00000183117,ENST00000635120,ENSE00003543605
ENSG00000183117,ENST00000635120,ENSE00003651393
ENSG00000183117,ENST00000635120,ENSE00003463123
ENSG00000183117,ENST00000635120,ENSE00003571994
ENSG00000183117,ENST00000635120,ENSE00003486173
ENSG00000183117,ENST00000635120,ENSE00003534953
ENSG00000183117,ENST00000635120,ENSE00003500203
ENSG00000183117,ENST00000635120,ENSE00003582999
ENSG00000183117,ENST00000635120,ENSE00003566862
ENSG00000183117,ENST00000635120,ENSE00001647726
ENSG00000183117,ENST00000635120,ENSE00001725197
ENSG00000183117,ENST00000635120,ENSE00001618094
ENSG00000183117,ENST00000635120,ENSE00001741713
ENSG00000183117,ENST00000635120,ENSE00001604504
ENSG00000183117,ENST00000635120,ENSE00001337196
ENSG00000183117,ENST00000635120,ENSE00001724024
ENSG00000183117,ENST00000635120,ENSE00001778596
ENSG00000183117,ENST00000635120,ENSE00001645867
ENSG00000183117,ENST00000635120,ENSE00003500741
ENSG00000183117,ENST00000635120,ENSE00003589893
ENSG00000183117,ENST00000635120,ENSE00001774787
ENSG00000183117,ENST00000635120,ENSE00001610794
ENSG00000183117,ENST00000635120,ENSE00001666981
ENSG00000183117,ENST00000635120,ENSE00001719912
ENSG00000183117,ENST00000635120,ENSE00001632174
ENSG00000183117,ENST00000635120,ENSE00001646384
ENSG00000183117,ENST00000635120,ENSE00001790731
ENSG00000183117,ENST00000635120,ENSE00001653652
ENSG00000183117,ENST00000635120,ENSE00001752958
ENSG00000183117,ENST00000635120,ENSE00001760704
ENSG00000183117,ENST00000635120,ENSE00001716902
ENSG00000183117,ENST00000635120,ENSE00001634359
ENSG00000183117,ENST00000635120,ENSE00001390107
ENSG00000183117,ENST00000635120,ENSE00001754635
ENSG00000183117,ENST00000635120,ENSE00001705572
ENSG00000183117,ENST00000635120,ENSE00001697137
ENSG00000183117,ENST00000635120,ENSE00001753984
ENSG00000183117,ENST00000635120,ENSE00003850716
ENSG00000183117,ENST00000520002,ENSE00002108991
ENSG00000183117,ENST00000520002,ENSE00002097594
ENSG00000183117,ENST00000520002,ENSE00002125828
ENSG00000183117,ENST00000520002,ENSE00001541898
ENSG00000183117,ENST00000520002,ENSE00001541896
ENSG00000183117,ENST00000520002,ENSE00002122291
ENSG00000183117,ENST00000520002,ENSE00001639117
ENSG00000183117,ENST00000520002,ENSE00001593866
ENSG00000183117,ENST00000520002,ENSE00002124827
ENSG00000183117,ENST00000520002,ENSE00002110069
ENSG00000183117,ENST00000520002,ENSE00001642699
ENSG00000183117,ENST00000520002,ENSE00003616600
ENSG00000183117,ENST00000520002,ENSE00003609504
ENSG00000183117,ENST00000520002,ENSE00001736687
ENSG00000183117,ENST00000520002,ENSE00001337309
ENSG00000183117,ENST00000520002,ENSE00001337308
ENSG00000183117,ENST00000520002,ENSE00001660352
ENSG00000183117,ENST00000520002,ENSE00001337303
ENSG00000183117,ENST00000520002,ENSE00003644099
ENSG00000183117,ENST00000520002,ENSE00003634507
ENSG00000183117,ENST00000520002,ENSE00003573928
ENSG00000183117,ENST00000520002,ENSE00003657161
ENSG00000183117,ENST00000520002,ENSE00003554364
ENSG00000183117,ENST00000520002,ENSE00003660564
ENSG00000183117,ENST00000520002,ENSE00003608110
ENSG00000183117,ENST00000520002,ENSE00003656117
ENSG00000183117,ENST00000520002,ENSE00003645505
ENSG00000183117,ENST00000520002,ENSE00003492107
ENSG00000183117,ENST00000520002,ENSE00003657934
ENSG00000183117,ENST00000520002,ENSE00003517944
ENSG00000183117,ENST00000520002,ENSE00003532075
ENSG00000183117,ENST00000520002,ENSE00003656592
ENSG00000183117,ENST00000520002,ENSE00003488848
ENSG00000183117,ENST00000520002,ENSE00003543605
ENSG00000183117,ENST00000520002,ENSE00003651393
ENSG00000183117,ENST00000520002,ENSE00003463123
ENSG00000183117,ENST00000520002,ENSE00003571994
ENSG00000183117,ENST00000520002,ENSE00003486173
ENSG00000183117,ENST00000520002,ENSE00003534953
ENSG00000183117,ENST00000520002,ENSE00003500203
ENSG00000183117,ENST00000520002,ENSE00003582999
ENSG00000183117,ENST00000520002,ENSE00003566862
ENSG00000183117,ENST00000520002,ENSE00001647726
ENSG00000183117,ENST00000520002,ENSE00001725197
ENSG00000183117,ENST00000520002,ENSE00001618094
ENSG00000183117,ENST00000520002,ENSE00001741713
ENSG00000183117,ENST00000520002,ENSE00001604504
ENSG00000183117,ENST00000520002,ENSE00001337196
ENSG00000183117,ENST00000520002,ENSE00001724024
ENSG00000183117,ENST00000520002,ENSE00001778596
ENSG00000183117,ENST00000520002,ENSE00001645867
ENSG00000183117,ENST00000520002,ENSE00003500741
ENSG00000183117,ENST00000520002,ENSE00003589893
ENSG00000183117,ENST00000520002,ENSE00001774787
ENSG00000183117,ENST00000520002,ENSE00001610794
ENSG00000183117,ENST00000520002,ENSE00001666981
ENSG00000183117,ENST00000520002,ENSE00001719912
ENSG00000183117,ENST00000520002,ENSE00001632174
ENSG00000183117,ENST00000520002,ENSE00001646384
ENSG00000183117,ENST00000520002,ENSE00001790731
ENSG00000183117,ENST00000520002,ENSE00001653652
ENSG00000183117,ENST00000520002,ENSE00001752958
ENSG00000183117,ENST00000520002,ENSE00001760704
ENSG00000183117,ENST00000520002,ENSE00001716902
ENSG00000183117,ENST00000520002,ENSE00001634359
ENSG00000183117,ENST00000520002,ENSE00001390107
ENSG00000183117,ENST00000520002,ENSE00001754635
ENSG00000183117,ENST00000520002,ENSE00001705572
ENSG00000183117,ENST00000520002,ENSE00001697137
ENSG00000183117,ENST00000520002,ENSE00001753984
ENSG00000183117,ENST00000520002,ENSE00002133897
ENSG00000183117,ENST00000602557,ENSE00002108991
ENSG00000183117,ENST00000602557,ENSE00002097594
ENSG00000183117,ENST00000602557,ENSE00002125828
ENSG00000183117,ENST00000602557,ENSE00001541898
ENSG00000183117,ENST00000602557,ENSE00001541896
ENSG00000183117,ENST00000602557,ENSE00002122291
ENSG00000183117,ENST00000602557,ENSE00001639117
ENSG00000183117,ENST00000602557,ENSE00001593866
ENSG00000183117,ENST00000602557,ENSE00003423523
ENSG00000183117,ENST00000602557,ENSE00002110069
ENSG00000183117,ENST00000602557,ENSE00001642699
ENSG00000183117,ENST00000602557,ENSE00003616600
ENSG00000183117,ENST00000602557,ENSE00003609504
ENSG00000183117,ENST00000602557,ENSE00001736687
ENSG00000183117,ENST00000602557,ENSE00001337309
ENSG00000183117,ENST00000602557,ENSE00001337308
ENSG00000183117,ENST00000602557,ENSE00001660352
ENSG00000183117,ENST00000602557,ENSE00001337303
ENSG00000183117,ENST00000602557,ENSE00003644099
ENSG00000183117,ENST00000602557,ENSE00003634507
ENSG00000183117,ENST00000602557,ENSE00003573928
ENSG00000183117,ENST00000602557,ENSE00003657161
ENSG00000183117,ENST00000602557,ENSE00003554364
ENSG00000183117,ENST00000602557,ENSE00003660564
ENSG00000183117,ENST00000602557,ENSE00003608110
ENSG00000183117,ENST00000602557,ENSE00003656117
ENSG00000183117,ENST00000602557,ENSE00003645505
ENSG00000183117,ENST00000602557,ENSE00003492107
ENSG00000183117,ENST00000602557,ENSE00003657934
ENSG00000183117,ENST00000602557,ENSE00003517944
ENSG00000183117,ENST00000602557,ENSE00003532075
ENSG00000183117,ENST00000602557,ENSE00003656592
ENSG00000183117,ENST00000602557,ENSE00003488848
ENSG00000183117,ENST00000602557,ENSE00003543605
ENSG00000183117,ENST00000602557,ENSE00003651393
ENSG00000183117,ENST00000602557,ENSE00003463123
ENSG00000183117,ENST00000602557,ENSE00003571994
ENSG00000183117,ENST00000602557,ENSE00003486173
ENSG00000183117,ENST00000602557,ENSE00003534953
ENSG00000183117,ENST00000602557,ENSE00003500203
ENSG00000183117,ENST00000602557,ENSE00003582999
ENSG00000183117,ENST00000602557,ENSE00003566862
ENSG00000183117,ENST00000602557,ENSE00001647726
ENSG00000183117,ENST00000602557,ENSE00001725197
ENSG00000183117,ENST00000602557,ENSE00001618094
ENSG00000183117,ENST00000602557,ENSE00001741713
ENSG00000183117,ENST00000602557,ENSE00001604504
ENSG00000183117,ENST00000602557,ENSE00001337196
ENSG00000183117,ENST00000602557,ENSE00001724024
ENSG00000183117,ENST00000602557,ENSE00001778596
ENSG00000183117,ENST00000602557,ENSE00001645867
ENSG00000183117,ENST00000602557,ENSE00003500741
ENSG00000183117,ENST00000602557,ENSE00003589893
ENSG00000183117,ENST00000602557,ENSE00001774787
ENSG00000183117,ENST00000602557,ENSE00001610794
ENSG00000183117,ENST00000602557,ENSE00001666981
ENSG00000183117,ENST00000602557,ENSE00001719912
ENSG00000183117,ENST00000602557,ENSE00001632174
ENSG00000183117,ENST00000602557,ENSE00001646384
ENSG00000183117,ENST00000602557,ENSE00001790731
ENSG00000183117,ENST00000602557,ENSE00001653652
ENSG00000183117,ENST00000602557,ENSE00001752958
ENSG00000183117,ENST00000602557,ENSE00001760704
ENSG00000183117,ENST00000602557,ENSE00001716902
ENSG00000183117,ENST00000602557,ENSE00001634359
ENSG00000183117,ENST00000602557,ENSE00001390107
ENSG00000183117,ENST00000602557,ENSE00001754635
ENSG00000183117,ENST00000602557,ENSE00001705572
ENSG00000183117,ENST00000602557,ENSE00001697137
ENSG00000183117,ENST00000602557,ENSE00001753984
ENSG00000183117,ENST00000602557,ENSE00002133897
ENSG00000183117,ENST00000519623,ENSE00002121515
ENSG00000183117,ENST00000519623,ENSE00003549801
ENSG00000183117,ENST00000519623,ENSE00003640016
ENSG00000183117,ENST00000519623,ENSE00001670350
ENSG00000183117,ENST00000523062,ENSE00001715737
ENSG00000183117,ENST00000523062,ENSE00002112270
ENSG00000183117,ENST00000520561,ENSE00002107376
ENSG00000183117,ENST00000520561,ENSE00001656920
ENSG00000183117,ENST00000523387,ENSE00002127953
ENSG00000183117,ENST00000523387,ENSE00003494510
ENSG00000183117,ENST00000523387,ENSE00003594753
ENSG00000183117,ENST00000523387,ENSE00003527913
ENSG00000183117,ENST00000523387,ENSE00003510768
ENSG00000183117,ENST00000523387,ENSE00003602889
ENSG00000183117,ENST00000523387,ENSE00003471319
ENSG00000183117,ENST00000523387,ENSE00003629827
ENSG00000183117,ENST00000523387,ENSE00003560225
ENSG00000183117,ENST00000523387,ENSE00003537338
ENSG00000183117,ENST00000523387,ENSE00003543388
ENSG00000183117,ENST00000523387,ENSE00003671448
ENSG00000183117,ENST00000523387,ENSE00003614051
ENSG00000183117,ENST00000523387,ENSE00003595080
ENSG00000183117,ENST00000523387,ENSE00003634358
ENSG00000183117,ENST00000523387,ENSE00003609341
ENSG00000183117,ENST00000523387,ENSE00003462613
ENSG00000183117,ENST00000523387,ENSE00002107105
ENSG00000183117,ENST00000523488,ENSE00002105382
ENSG00000183117,ENST00000523488,ENSE00003616326
ENSG00000183117,ENST00000523488,ENSE00003578417
ENSG00000183117,ENST00000523488,ENSE00003566857
ENSG00000183117,ENST00000523488,ENSE00003498849
ENSG00000183117,ENST00000523488,ENSE00003533126
ENSG00000183117,ENST00000523488,ENSE00003684885
ENSG00000183117,ENST00000523488,ENSE00003567636
ENSG00000183117,ENST00000523488,ENSE00003579739
ENSG00000183117,ENST00000523488,ENSE00003494510
ENSG00000183117,ENST00000523488,ENSE00003594753
